full_name,employee_id,phone,email,role,site_area,current_location,current_status,shift_start_time,shift_end_time,current_shift_id,institution,active,hire_date,last_activity,id,created_date,updated_date,created_by_id,created_by,is_sample
"ישראל גרין","G010","053-1234567","israel.green@security.com","מאבטח ראשי","מערב","{""""latitude"""":31.699,""""longitude"""":35.108,""""timestamp"""":""""2025-01-06T10:50:00Z"""",""""accuracy"""":4}","available","06:00","14:00","null","משמר ביתר","true","2022-12-30","2025-01-06T10:50:00Z","683c6ad503954956bcbe2edd","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"בנימין ליפשיץ","G014","053-5678901","binyamin.lipshitz@security.com","מאבטח רגיל","מזרח","{""""latitude"""":31.6995,""""longitude"""":35.1175,""""timestamp"""":""""2025-01-06T10:22:00Z"""",""""accuracy"""":8}","available","14:00","22:00","null","משמר ביתר","true","2023-03-07","2025-01-06T10:22:00Z","683c6ad503954956bcbe2ee1","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"שמחה קליין","G018","053-9012345","simcha.klein@security.com","מנהל משמרת","דרום","{""""latitude"""":31.6965,""""longitude"""":35.1105,""""timestamp"""":""""2025-01-06T10:42:00Z"""",""""accuracy"""":4}","responding_to_incident","22:00","06:00","null","משמר ביתר","true","2022-07-29","2025-01-06T10:42:00Z","683c6ad503954956bcbe2ee5","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"שמואל הכהן","G025","054-7890123","shmuel.hacohen@security.com","מאבטח ראשי","מערב","{""""latitude"""":31.6993,""""longitude"""":35.1088,""""timestamp"""":""""2025-01-06T10:53:00Z"""",""""accuracy"""":5}","on_patrol","06:00","14:00","null","משמר ביתר","true","2022-10-07","2025-01-06T10:53:00Z","683c6ad503954956bcbe2eec","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"אהרן סילבר","G015","053-6789012","aharon.silver@security.com","מאבטח ראשי","מערב","{""""latitude"""":31.698,""""longitude"""":35.1095,""""timestamp"""":""""2025-01-06T10:48:00Z"""",""""accuracy"""":5}","on_patrol","22:00","06:00","null","משמר ביתר","true","2022-10-11","2025-01-06T10:48:00Z","683c6ad503954956bcbe2ee2","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"אברהם מלמד","G020","054-2345678","avraham.melamed@security.com","מאבטח ראשי","מערב","{""""latitude"""":31.6988,""""longitude"""":35.1085,""""timestamp"""":""""2025-01-06T10:37:00Z"""",""""accuracy"""":5}","available","14:00","22:00","null","משמר ביתר","true","2022-11-23","2025-01-06T10:37:00Z","683c6ad503954956bcbe2ee7","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"ברוך טייכמן","G021","054-3456789","baruch.teichman@security.com","מאבטח רגיל","מרכז","{""""latitude"""":31.7002,""""longitude"""":35.113,""""timestamp"""":""""2025-01-06T10:51:00Z"""",""""accuracy"""":8}","on_patrol","22:00","06:00","null","משמר ביתר","true","2023-06-19","2025-01-06T10:51:00Z","683c6ad503954956bcbe2ee8","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"נתן שניידר","G032","055-5678901","natan.schneider@security.com","מאבטח במעקב","צפון","{""""latitude"""":31.7033,""""longitude"""":35.1152,""""timestamp"""":""""2025-01-06T10:19:00Z"""",""""accuracy"""":6}","available","14:00","22:00","null","משמר ביתר","true","2023-07-09","2025-01-06T10:19:00Z","683c6ad503954956bcbe2ef3","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"יחזקאל גלייכמן","G035","055-8901234","yechezkel.gleichman@security.com","מאבטח רגיל","מערב","{""""latitude"""":31.6982,""""longitude"""":35.1098,""""timestamp"""":""""2025-01-06T10:46:00Z"""",""""accuracy"""":9}","unavailable","14:00","22:00","null","משמר ביתר","true","2023-06-01","2025-01-06T10:46:00Z","683c6ad503954956bcbe2ef6","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"צבי ויינברג","G013","053-4567890","tzvi.weinberg@security.com","מאבטח במעקב","דרום","{""""latitude"""":31.6975,""""longitude"""":35.1115,""""timestamp"""":""""2025-01-06T10:55:00Z"""",""""accuracy"""":6}","on_patrol","06:00","14:00","null","משמר ביתר","true","2023-01-25","2025-01-06T10:55:00Z","683c6ad503954956bcbe2ee0","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"אליעזר פרידמן","G006","052-6789012","eliezer.friedman@security.com","מאבטח ראשי","מרכז","{""""latitude"""":31.701,""""longitude"""":35.1135,""""timestamp"""":""""2025-01-06T10:20:00Z"""",""""accuracy"""":5}","available","22:00","06:00","null","משמר ביתר","true","2022-09-18","2025-01-06T10:20:00Z","683c6ad503954956bcbe2ed9","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"דניאל ורטהיים","G022","054-4567890","daniel.wertheim@security.com","מאבטח במעקב","צפון","{""""latitude"""":31.7028,""""longitude"""":35.1148,""""timestamp"""":""""2025-01-06T10:14:00Z"""",""""accuracy"""":6}","on_break","06:00","14:00","null","משמר ביתר","true","2023-02-28","2025-01-06T10:14:00Z","683c6ad503954956bcbe2ee9","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"ברוך פרנקל","G034","055-7890123","baruch.frankel@security.com","מאבטח ראשי","מזרח","{""""latitude"""":31.6998,""""longitude"""":35.1168,""""timestamp"""":""""2025-01-06T10:21:00Z"""",""""accuracy"""":5}","on_patrol","06:00","14:00","null","משמר ביתר","true","2022-11-10","2025-01-06T10:21:00Z","683c6ad503954956bcbe2ef5","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"יעקב אייזנברג","G037","056-1234567","yaakov.eisenberg@security.com","מאבטח רגיל","צפון","{""""latitude"""":31.7026,""""longitude"""":35.1162,""""timestamp"""":""""2025-01-06T10:52:00Z"""",""""accuracy"""":7}","on_patrol","06:00","14:00","null","משמר ביתר","true","2023-02-09","2025-01-06T10:52:00Z","683c6ad503954956bcbe2ef8","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"עובדיה הרץ","G023","054-5678901","ovadya.hertz@security.com","מאבטח רגיל","דרום","{""""latitude"""":31.6972,""""longitude"""":35.1112,""""timestamp"""":""""2025-01-06T10:44:00Z"""",""""accuracy"""":7}","unavailable","14:00","22:00","null","משמר ביתר","true","2023-07-26","2025-01-06T10:44:00Z","683c6ad503954956bcbe2eea","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"יעקב ויס","G026","054-8901234","yaakov.weiss@security.com","מאבטח רגיל","מרכז","{""""latitude"""":31.7018,""""longitude"""":35.1138,""""timestamp"""":""""2025-01-06T10:16:00Z"""",""""accuracy"""":8}","available","14:00","22:00","null","משמר ביתר","true","2023-05-30","2025-01-06T10:16:00Z","683c6ad503954956bcbe2eed","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"יעקב שטיין","G004","052-4567890","yaakov.stein@security.com","מנהל משמרת","מזרח","{""""latitude"""":31.7005,""""longitude"""":35.117,""""timestamp"""":""""2025-01-06T10:25:00Z"""",""""accuracy"""":4}","responding_to_incident","06:00","14:00","null","משמר ביתר","true","2022-11-05","2025-01-06T10:25:00Z","683c6ad503954956bcbe2ed7","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"אליהו רוזן","G011","053-2345678","eliyahu.rosen@security.com","מנהל משמרת","מרכז","{""""latitude"""":31.7015,""""longitude"""":35.114,""""timestamp"""":""""2025-01-06T10:12:00Z"""",""""accuracy"""":5}","responding_to_incident","14:00","22:00","null","משמר ביתר","true","2022-08-16","2025-01-06T10:12:00Z","683c6ad503954956bcbe2ede","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"גדליה שפירא","G016","053-7890123","gedalya.shapira@security.com","מאבטח רגיל","מרכז","{""""latitude"""":31.7008,""""longitude"""":35.1125,""""timestamp"""":""""2025-01-06T10:33:00Z"""",""""accuracy"""":7}","unavailable","06:00","14:00","null","משמר ביתר","true","2023-05-11","2025-01-06T10:33:00Z","683c6ad503954956bcbe2ee3","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"פנחס גולדשטיין","G024","054-6789012","pinchas.goldstein@security.com","מנהל משמרת","מזרח","{""""latitude"""":31.7007,""""longitude"""":35.1172,""""timestamp"""":""""2025-01-06T10:29:00Z"""",""""accuracy"""":4}","responding_to_incident","22:00","06:00","null","משמר ביתר","true","2022-09-14","2025-01-06T10:29:00Z","683c6ad503954956bcbe2eeb","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"משה קנופלר","G038","056-2345678","moshe.knopfler@security.com","מאבטח במעקב","דרום","{""""latitude"""":31.6974,""""longitude"""":35.1114,""""timestamp"""":""""2025-01-06T10:17:00Z"""",""""accuracy"""":6}","available","14:00","22:00","null","משמר ביתר","true","2023-05-04","2025-01-06T10:17:00Z","683c6ad503954956bcbe2ef9","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"אליעזר שרייבר","G027","054-9012345","eliezer.schreiber@security.com","מאבטח במעקב","צפון","{""""latitude"""":31.7022,""""longitude"""":35.1158,""""timestamp"""":""""2025-01-06T10:41:00Z"""",""""accuracy"""":6}","on_break","22:00","06:00","null","משמר ביתר","true","2023-01-17","2025-01-06T10:41:00Z","683c6ad503954956bcbe2eee","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"משה קופר","G029","055-2345678","moshe.cooper@security.com","מאבטח ראשי","מזרח","{""""latitude"""":31.7004,""""longitude"""":35.1178,""""timestamp"""":""""2025-01-06T10:47:00Z"""",""""accuracy"""":5}","unavailable","14:00","22:00","null","משמר ביתר","true","2022-12-18","2025-01-06T10:47:00Z","683c6ad503954956bcbe2ef0","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"שמחה גולדשמידט","G039","056-3456789","simcha.goldschmidt@security.com","מאבטח ראשי","מזרח","{""""latitude"""":31.7001,""""longitude"""":35.1174,""""timestamp"""":""""2025-01-06T10:43:00Z"""",""""accuracy"""":5}","on_break","22:00","06:00","null","משמר ביתר","true","2022-09-27","2025-01-06T10:43:00Z","683c6ad503954956bcbe2efa","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"יוסף כץ","G008","052-8901234","yosef.katz@security.com","מאבטח במעקב","דרום","{""""latitude"""":31.696,""""longitude"""":35.112,""""timestamp"""":""""2025-01-06T10:15:00Z"""",""""accuracy"""":6}","unavailable","14:00","22:00","null","משמר ביתר","true","2023-06-08","2025-01-06T10:15:00Z","683c6ad503954956bcbe2edb","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"יחיאל גרוס","G017","053-8901234","yechiel.gross@security.com","מאבטח במעקב","צפון","{""""latitude"""":31.7035,""""longitude"""":35.1165,""""timestamp"""":""""2025-01-06T10:18:00Z"""",""""accuracy"""":6}","on_break","14:00","22:00","null","משמר ביתר","true","2022-12-02","2025-01-06T10:18:00Z","683c6ad503954956bcbe2ee4","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"שמואל וייסמן","G033","055-6789012","shmuel.weisman@security.com","מאבטח רגיל","דרום","{""""latitude"""":31.6977,""""longitude"""":35.1108,""""timestamp"""":""""2025-01-06T10:39:00Z"""",""""accuracy"""":8}","on_break","22:00","06:00","null","משמר ביתר","true","2023-04-17","2025-01-06T10:39:00Z","683c6ad503954956bcbe2ef4","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"דוד לוי","G002","052-2345678","david.levi@security.com","מאבטח רגיל","צפון","{""""latitude"""":31.702,""""longitude"""":35.115,""""timestamp"""":""""2025-01-06T10:28:00Z"""",""""accuracy"""":8}","available","14:00","22:00","null","משמר ביתר","true","2023-05-20","2025-01-06T10:28:00Z","683c6ad503954956bcbe2ed5","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"שמואל גולדברג","G005","052-5678901","shmuel.goldberg@security.com","מאבטח רגיל","מערב","{""""latitude"""":31.6985,""""longitude"""":35.109,""""timestamp"""":""""2025-01-06T10:35:00Z"""",""""accuracy"""":7}","on_patrol","14:00","22:00","null","משמר ביתר","true","2023-07-12","2025-01-06T10:35:00Z","683c6ad503954956bcbe2ed8","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"נפתלי שוורץ","G009","052-9012345","naftali.schwartz@security.com","מאבטח רגיל","מזרח","{""""latitude"""":31.7,""""longitude"""":35.116,""""timestamp"""":""""2025-01-06T10:45:00Z"""",""""accuracy"""":8}","on_patrol","22:00","06:00","null","משמר ביתר","true","2023-02-14","2025-01-06T10:45:00Z","683c6ad503954956bcbe2edc","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
